drugbank_id,name,other_drug_name,interaction_description
db00001,lepirudin,ebselen,the risk or severity of bleeding and hemorrhage can be increased when ebselen is combined with lepirudin.
db00001,lepirudin,tinoridine,the risk or severity of bleeding and hemorrhage can be increased when tinoridine is combined with lepirudin.
db00001,lepirudin,alclofenac,the risk or severity of bleeding and hemorrhage can be increased when alclofenac is combined with lepirudin.
db00001,lepirudin,fentiazac,the risk or severity of bleeding and hemorrhage can be increased when fentiazac is combined with lepirudin.
db00001,lepirudin,suxibuzone,the risk or severity of bleeding and hemorrhage can be increased when suxibuzone is combined with lepirudin.
db00001,lepirudin,bumadizone,the risk or severity of bleeding and hemorrhage can be increased when bumadizone is combined with lepirudin.
db00001,lepirudin,alminoprofen,the risk or severity of bleeding and hemorrhage can be increased when alminoprofen is combined with lepirudin.
db00001,lepirudin,difenpiramide,the risk or severity of bleeding and hemorrhage can be increased when difenpiramide is combined with lepirudin.
db00001,lepirudin,nifenazone,the risk or severity of bleeding and hemorrhage can be increased when nifenazone is combined with lepirudin.
db00001,lepirudin,lonazolac,the risk or severity of bleeding and hemorrhage can be increased when lonazolac is combined with lepirudin.
db00001,lepirudin,tenidap,the risk or severity of bleeding and hemorrhage can be increased when tenidap is combined with lepirudin.
db00001,lepirudin,propyphenazone,the risk or severity of bleeding and hemorrhage can be increased when propyphenazone is combined with lepirudin.
db00001,lepirudin,proglumetacin,the risk or severity of bleeding and hemorrhage can be increased when proglumetacin is combined with lepirudin.
db00001,lepirudin,guacetisal,the risk or severity of bleeding and hemorrhage can be increased when guacetisal is combined with lepirudin.
db00001,lepirudin,ethenzamide,the risk or severity of bleeding and hemorrhage can be increased when ethenzamide is combined with lepirudin.
db00001,lepirudin,carbaspirin calcium,the risk or severity of bleeding and hemorrhage can be increased when carbaspirin calcium is combined with lepirudin.
db00001,lepirudin,mofebutazone,the risk or severity of bleeding and hemorrhage can be increased when mofebutazone is combined with lepirudin.
